"","VALUE","COUNT","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"68",9730,25861,"Southeastern Great Plains Floodplain Shrubland",9230,2471,"Tr Central Interior and Appalachian Floodplain Systems","Shrub","Riparian",666,"Eastern Floodplain Forests","SAF 61: River Birch-Sycamore","Shrub-dominated","Shrubland","Deciduous shrubland",0,92,0,0,0.360784,0,5751,0.014
"69",7148,19435,"Western Great Plains Sand Prairie",7148,2148,"He Western Great Plains Sand Prairie","Herb","Grassland",647,"Sand Prairie","SRM 720: Sand Bluestem -Little Bluestem Dunes","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,148,71,1,0.580392,0.278431,4322,0.011
"70",7094,17792,"Western Great Plains Sandhill Steppe",7094,2094,"Sh Western Great Plains Sandhill Steppe","Shrub","Shrubland",637,"Sand Shrubland","SRM 605: Sandsage Prairie","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",112,82,57,0.439216,0.321569,0.223529,3957,0.01
"71",7424,15716,"East-Central Texas Plains Xeric Sandyland",7424,2424,"He East-Central Texas Plains Xeric Sandyland","Herb","Grassland",688,"Prairies and Barrens","SRM 732: Cross Timbers-Texas Little Bluestem-Post Oak","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,153,0,1,0.6,0,3495,0.009
"72",7256,10155,"Apacherian-Chihuahuan Semi-Desert Grassland",7121,2121,"Sh Apacherian-Chihuahuan Semi-Desert Grassland and Steppe","Herb","Grassland",618,"Grassland and Steppe","SRM 505: Grama-Tobosa Shrub","Herbaceous / Nonvascular-dominated","Herbaceous - shrub-steppe","Perennial graminoid steppe",255,204,51,1,0.8,0.2,2258,0.006
"73",9526,9937,"Western Great Plains Floodplain Shrubland",9026,2162,"Tr Western Great Plains Floodplain Systems","Shrub","Riparian",635,"Western Riparian Woodland and Shrubland","LF 42: Great Plains Riparian","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",6,53,122,0.023529,0.207843,0.478431,2210,0.006
"74",7467,8400,"Tamaulipan Floodplain Woodland",7467,2467,"Tr Tamaulipan Floodplain Forest","Tree","Riparian",666,"Eastern Floodplain Forests","LF 42: Great Plains Riparian","Tree-dominated","Open tree canopy","Deciduous open tree canopy",6,53,122,0.023529,0.207843,0.478431,1868,0.005
"75",7474,8864,"Tamaulipan Floodplain Shrubland",7467,2467,"Tr Tamaulipan Floodplain Forest","Shrub","Riparian",666,"Eastern Floodplain Forests","LF 42: Great Plains Riparian","Shrub-dominated","Shrubland","Deciduous shrubland",6,53,122,0.023529,0.207843,0.478431,1971,0.005
"76",9270,7347,"Tamaulipan Saline Thornscrub",9270,2441,"Sh Tamaulipan Saline Thornscrub","Shrub","Shrubland",613,"Desert Scrub","SRM 728: Mesquite-Ganjeno-Acacia","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",82,52,34,0.321569,0.203922,0.133333,1634,0.004
"77",9150,4578,"North American Warm Desert Pavement",9150,2004,"Sps North American Warm Desert Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,1018,0.003
